fragment_id,T_on_ns,N_events,facet,tau_mean_ns,T_off_ns,K_D
140,0.08,1,edge,0.08,0,0
154,0.08,1,edge,0.08,0,0
184,0.03,1,edge,0.03,0.05,1.66667
189,0.08,1,100 facet,0.08,0,0
226,0.08,1,100 facet,0.08,0,0
234,0.08,1,100 facet,0.08,0,0
279,0.05,1,111 facet,0.05,0.03,0.6
304,0.08,1,100 facet,0.08,0,0
306,0.08,1,edge,0.08,0,0
319,0.03,1,111 facet,0.03,0.05,1.66667
342,0.03,1,100 facet,0.03,0.05,1.66667
371,0.08,1,edge,0.08,0,0
390,0.08,1,100 facet,0.08,0,0
393,0.08,1,100 facet,0.08,0,0
411,0.08,1,vertex,0.08,0,0
414,0.08,1,edge,0.08,0,0
416,0.03,1,111 facet,0.03,0.05,1.66667
432,0.08,1,100 facet,0.08,0,0
433,0.02,1,vertex,0.02,0.06,3
512,0.03,1,111 facet,0.03,0.05,1.66667
542,0.08,1,edge,0.08,0,0
570,0.06,1,edge,0.06,0.02,0.333333
62,0.08,1,100 facet,0.08,0,0
657,0.08,1,vertex,0.08,0,0
668,0.08,1,edge,0.08,0,0
678,0.02,1,edge,0.02,0.06,3
695,0.08,1,100 facet,0.08,0,0
697,0.03,1,vertex,0.03,0.05,1.66667
746,0.08,1,111 facet,0.08,0,0
756,0.08,1,100 facet,0.08,0,0
760,0.08,1,edge,0.08,0,0
84,0.05,1,100 facet,0.05,0.03,0.6
852,0.03,1,edge,0.03,0.05,1.66667
864,0.08,1,edge,0.08,0,0
879,0.08,1,111 facet,0.08,0,0
885,0.08,1,vertex,0.08,0,0
890,0.03,1,vertex,0.03,0.05,1.66667
905,0.08,1,edge,0.08,0,0
934,0.08,1,111 facet,0.08,0,0
951,0.03,1,111 facet,0.03,0.05,1.66667
958,0.08,1,edge,0.08,0,0
