fragment_id,T_on_ns,N_events,facet,tau_mean_ns,T_off_ns,K_D
140,0.0080000000238512,1,edge,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
154,0.0080000000238512,1,edge,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
184,0.0030000000089442,1,edge,0.0030000000089442,0.005000000014907045,1.6666666666666818
189,0.0080000000238512,1,100 facet,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
226,0.0080000000238512,1,100 facet,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
234,0.0080000000238512,1,100 facet,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
279,0.005000000014907,1,111 facet,0.005000000014907,0.0030000000089442456,0.6000000000000091
304,0.0080000000238512,1,100 facet,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
306,0.0080000000238512,1,edge,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
319,0.0030000000089442,1,111 facet,0.0030000000089442,0.005000000014907045,1.6666666666666818
342,0.0030000000089442,1,100 facet,0.0030000000089442,0.005000000014907045,1.6666666666666818
371,0.0080000000238512,1,edge,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
390,0.0080000000238512,1,100 facet,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
393,0.0080000000238512,1,100 facet,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
411,0.0080000000238512,1,vertex,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
414,0.0080000000238512,1,edge,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
416,0.0030000000089442,1,111 facet,0.0030000000089442,0.005000000014907045,1.6666666666666818
432,0.0080000000238512,1,100 facet,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
433,0.0020000000059628,1,vertex,0.0020000000059628,0.006000000017888446,3.0000000000000226
512,0.0030000000089442,1,111 facet,0.0030000000089442,0.005000000014907045,1.6666666666666818
542,0.0080000000238512,1,edge,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
570,0.0060000000178884,1,edge,0.0060000000178884,0.0020000000059628457,0.3333333333333409
62,0.0080000000238512,1,100 facet,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
657,0.0080000000238512,1,vertex,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
668,0.0080000000238512,1,edge,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
678,0.0020000000059628,1,edge,0.0020000000059628,0.006000000017888446,3.0000000000000226
695,0.0080000000238512,1,100 facet,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
697,0.0030000000089442,1,vertex,0.0030000000089442,0.005000000014907045,1.6666666666666818
746,0.0080000000238512,1,111 facet,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
756,0.0080000000238512,1,100 facet,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
760,0.0080000000238512,1,edge,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
84,0.005000000014907,1,100 facet,0.005000000014907,0.0030000000089442456,0.6000000000000091
852,0.0030000000089442,1,edge,0.0030000000089442,0.005000000014907045,1.6666666666666818
864,0.0080000000238512,1,edge,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
879,0.0080000000238512,1,111 facet,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
885,0.0080000000238512,1,vertex,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
890,0.0030000000089442,1,vertex,0.0030000000089442,0.005000000014907045,1.6666666666666818
905,0.0080000000238512,1,edge,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
934,0.0080000000238512,1,111 facet,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
951,0.0030000000089442,1,111 facet,0.0030000000089442,0.005000000014907045,1.6666666666666818
958,0.0080000000238512,1,edge,0.0080000000238512,4.5102810375396984e-17,5.637851280115933e-15
