atom_index,coordination_number,classification,is_surface
0,5,vertex,True
1,7,edge,True
2,7,edge,True
3,7,edge,True
4,8,100 facet,True
5,7,edge,True
6,7,edge,True
7,7,edge,True
8,8,100 facet,True
9,8,100 facet,True
10,8,100 facet,True
11,8,100 facet,True
12,7,edge,True
13,8,100 facet,True
14,7,edge,True
15,5,vertex,True
16,8,100 facet,True
17,7,edge,True
18,8,100 facet,True
19,8,100 facet,True
20,8,100 facet,True
21,8,100 facet,True
22,8,100 facet,True
23,8,100 facet,True
24,5,vertex,True
25,7,edge,True
26,7,edge,True
27,8,100 facet,True
28,7,edge,True
29,8,100 facet,True
30,8,100 facet,True
31,7,edge,True
32,7,edge,True
33,7,edge,True
34,7,edge,True
35,5,vertex,True
36,7,edge,True
37,7,edge,True
38,7,edge,True
39,8,100 facet,True
40,7,edge,True
41,9,111 facet,True
42,9,111 facet,True
43,9,111 facet,True
44,9,111 facet,True
45,12,bulk,False
46,12,bulk,False
47,12,bulk,False
48,12,bulk,False
49,12,bulk,False
50,12,bulk,False
51,12,bulk,False
52,9,111 facet,True
53,9,111 facet,True
54,9,111 facet,True
55,12,bulk,False
56,9,111 facet,True
57,7,edge,True
58,7,edge,True
59,9,111 facet,True
60,12,bulk,False
61,12,bulk,False
62,12,bulk,False
63,12,bulk,False
64,12,bulk,False
65,12,bulk,False
66,12,bulk,False
67,12,bulk,False
68,12,bulk,False
69,12,bulk,False
70,12,bulk,False
71,12,bulk,False
72,12,bulk,False
73,12,bulk,False
74,12,bulk,False
75,9,111 facet,True
76,7,edge,True
77,7,edge,True
78,12,bulk,False
79,7,edge,True
80,8,100 facet,True
81,12,bulk,False
82,12,bulk,False
83,12,bulk,False
84,12,bulk,False
85,12,bulk,False
86,12,bulk,False
87,12,bulk,False
88,12,bulk,False
89,12,bulk,False
90,12,bulk,False
91,12,bulk,False
92,12,bulk,False
93,12,bulk,False
94,12,bulk,False
95,12,bulk,False
96,12,bulk,False
97,12,bulk,False
98,7,edge,True
99,8,100 facet,True
100,12,bulk,False
101,7,edge,True
102,9,111 facet,True
103,9,111 facet,True
104,12,bulk,False
105,9,111 facet,True
106,12,bulk,False
107,12,bulk,False
108,12,bulk,False
109,12,bulk,False
110,12,bulk,False
111,12,bulk,False
112,12,bulk,False
113,12,bulk,False
114,12,bulk,False
115,9,111 facet,True
116,12,bulk,False
117,12,bulk,False
118,9,111 facet,True
119,7,edge,True
120,9,111 facet,True
121,9,111 facet,True
122,9,111 facet,True
123,7,edge,True
124,12,bulk,False
125,7,edge,True
126,12,bulk,False
127,7,edge,True
128,12,bulk,False
129,8,100 facet,True
130,9,111 facet,True
131,9,111 facet,True
132,7,edge,True
133,7,edge,True
134,7,edge,True
135,8,100 facet,True
136,8,100 facet,True
137,8,100 facet,True
138,8,100 facet,True
139,7,edge,True
140,8,100 facet,True
141,7,edge,True
142,7,edge,True
143,7,edge,True
144,9,111 facet,True
145,12,bulk,False
146,12,bulk,False
147,12,bulk,False
148,12,bulk,False
149,12,bulk,False
150,12,bulk,False
151,12,bulk,False
152,12,bulk,False
153,12,bulk,False
154,12,bulk,False
155,12,bulk,False
156,12,bulk,False
157,12,bulk,False
158,12,bulk,False
159,12,bulk,False
160,9,111 facet,True
161,7,edge,True
162,7,edge,True
163,12,bulk,False
164,8,100 facet,True
165,8,100 facet,True
166,12,bulk,False
167,12,bulk,False
168,12,bulk,False
169,12,bulk,False
170,12,bulk,False
171,12,bulk,False
172,12,bulk,False
173,12,bulk,False
174,12,bulk,False
175,12,bulk,False
176,12,bulk,False
177,12,bulk,False
178,12,bulk,False
179,12,bulk,False
180,12,bulk,False
181,12,bulk,False
182,12,bulk,False
183,8,100 facet,True
184,8,100 facet,True
185,12,bulk,False
186,8,100 facet,True
187,8,100 facet,True
188,12,bulk,False
189,12,bulk,False
190,12,bulk,False
191,12,bulk,False
192,12,bulk,False
193,12,bulk,False
194,12,bulk,False
195,12,bulk,False
196,12,bulk,False
197,12,bulk,False
198,12,bulk,False
199,12,bulk,False
200,12,bulk,False
201,12,bulk,False
202,12,bulk,False
203,12,bulk,False
204,12,bulk,False
205,8,100 facet,True
206,8,100 facet,True
207,12,bulk,False
208,7,edge,True
209,8,100 facet,True
210,12,bulk,False
211,12,bulk,False
212,12,bulk,False
213,12,bulk,False
214,12,bulk,False
215,12,bulk,False
216,12,bulk,False
217,12,bulk,False
218,12,bulk,False
219,12,bulk,False
220,12,bulk,False
221,12,bulk,False
222,12,bulk,False
223,12,bulk,False
224,12,bulk,False
225,12,bulk,False
226,12,bulk,False
227,7,edge,True
228,8,100 facet,True
229,12,bulk,False
230,7,edge,True
231,9,111 facet,True
232,7,edge,True
233,12,bulk,False
234,7,edge,True
235,12,bulk,False
236,8,100 facet,True
237,12,bulk,False
238,8,100 facet,True
239,12,bulk,False
240,8,100 facet,True
241,12,bulk,False
242,8,100 facet,True
243,12,bulk,False
244,7,edge,True
245,12,bulk,False
246,8,100 facet,True
247,9,111 facet,True
248,7,edge,True
249,7,edge,True
