fragment_id,frame_index,atom_index,pt_min_distance,pt_classification
62,0,3949,2.644072330803628,100 facet
140,0,8161,3.107267204162287,edge
154,0,8899,2.7051816269078426,edge
189,0,10788,2.5545793418648826,100 facet
226,0,12793,3.215528518508965,100 facet
234,0,13222,2.341971600216388,100 facet
304,0,17001,2.8588965476535537,100 facet
306,0,17108,2.5406324455317244,edge
371,0,20611,3.4490757789279787,edge
390,0,21639,2.7841003869072574,100 facet
393,0,21809,3.262099901698121,100 facet
411,0,22782,2.41934943243215,vertex
414,0,22941,2.6506730895403883,edge
432,0,23911,2.281971482306441,100 facet
542,0,29846,2.730358499798341,edge
570,0,31367,2.691129479463212,edge
657,0,36062,3.47900317040078,vertex
668,0,36657,2.3225935408952845,edge
695,0,38110,3.4116528178035943,100 facet
746,0,40866,2.792005326848763,111 facet
756,0,41403,2.792286515986126,100 facet
760,0,41618,2.795206114632863,edge
864,0,47260,3.2501718383535905,edge
879,0,48053,2.855532181623147,111 facet
885,0,48372,2.5099161637887075,vertex
905,0,49448,2.899977909017752,edge
934,0,51021,2.401168224177612,111 facet
958,0,52317,2.714534679008528,edge
62,1,3949,2.523067653090036,100 facet
140,1,8161,3.028119848356828,edge
154,1,8899,2.661415926519173,edge
189,1,10788,2.5144237322929897,100 facet
226,1,12793,3.1514317916925783,100 facet
234,1,13222,2.39737897836883,100 facet
304,1,17001,2.797624021608139,100 facet
306,1,17108,2.525060158148754,edge
371,1,20611,3.352703434080311,edge
390,1,21639,2.732910840090612,100 facet
393,1,21809,3.176277369374816,100 facet
411,1,22782,2.4783690894816965,vertex
414,1,22941,2.6529810752470957,edge
432,1,23911,2.3438976324923484,100 facet
542,1,29846,2.804413580156247,edge
570,1,31367,2.68705445623477,edge
657,1,36062,3.3925482086080154,vertex
668,1,36657,2.3525465258637155,edge
695,1,38110,3.409932246734321,100 facet
746,1,40866,2.733106984439477,111 facet
756,1,41403,2.7680818354749133,100 facet
760,1,41618,2.704162326982807,edge
864,1,47260,3.1885668681391603,edge
879,1,48053,2.8569237133525727,111 facet
885,1,48372,2.539149363520893,vertex
905,1,49448,2.870398346928999,edge
934,1,51021,2.417212660032463,111 facet
958,1,52317,2.6831588981178607,edge
62,2,3949,2.339807993252393,100 facet
140,2,8161,2.836310491440014,edge
154,2,8899,2.648331077518576,edge
189,2,10788,2.4976735151828624,100 facet
226,2,12793,2.974254672289283,100 facet
234,2,13222,2.4517332247849764,100 facet
304,2,17001,2.7084174278088398,100 facet
306,2,17108,2.497528337626344,edge
371,2,20611,3.149732990683478,edge
390,2,21639,2.622189528833116,100 facet
393,2,21809,2.975967751164166,100 facet
411,2,22782,2.522214239660781,vertex
414,2,22941,2.6380057765501865,edge
432,2,23911,2.405275372435875,100 facet
542,2,29845,2.8599531947534564,edge
570,2,31367,2.67611235928104,edge
657,2,36062,3.2588718858255965,vertex
668,2,36657,2.400274902293379,edge
695,2,38107,3.2014105701209536,100 facet
746,2,40866,2.657324695571481,111 facet
756,2,41403,2.6937979097157894,100 facet
760,2,41618,2.635639807274803,edge
864,2,47260,3.057644810389701,edge
879,2,48053,2.8084844685322103,111 facet
885,2,48372,2.559635444857236,vertex
905,2,49448,2.933304873727044,edge
934,2,51021,2.4398907608075824,111 facet
958,2,52317,2.646891219723218,edge
62,3,3949,2.1938268672539767,100 facet
84,3,5150,3.3614221957641104,edge
140,3,8161,2.4445202762522498,edge
154,3,8899,2.6260657922681925,edge
189,3,10788,2.4979415807826872,100 facet
226,3,12793,2.539347960978142,100 facet
234,3,13222,2.4969071408697894,100 facet
279,3,15680,3.1218780552011856,111 facet
304,3,17001,2.552487392218859,100 facet
306,3,17108,2.469537575883105,edge
371,3,20611,3.0688495522864416,edge
390,3,21639,2.456256542220778,100 facet
393,3,21809,2.656485912413173,100 facet
411,3,22782,2.554002060358261,vertex
414,3,22940,2.564897934091896,edge
432,3,23911,2.4847477098623663,100 facet
542,3,29845,2.678445853469805,edge
570,3,31367,2.6429225078045437,edge
657,3,36062,3.0243327466874064,vertex
668,3,36657,2.4496840623166234,edge
695,3,38107,2.885565955013385,100 facet
746,3,40866,2.548030936404289,111 facet
756,3,41401,2.5267910119286263,edge
760,3,41618,2.5966634988187693,edge
864,3,47260,2.754964301982413,edge
879,3,48053,2.6985839593986025,111 facet
885,3,48372,2.586928295623627,vertex
905,3,49448,2.933672574471582,edge
